Town,Number
Barrington,17
Bristol,14
Burrillville,22
Central Falls,26
Charlestown,<5
Coventry,42
Cranston,112
Cumberland,40
East Greenwich,8
East Providence,49
Exeter,5
Foster,<5
Glocester,<5
Hopkinton,<5
Jamestown,6
Johnston,29
Lincoln,16
Little Compton,<5
Middletown,11
Narragansett,10
New Shoreham,<5
Newport,15
North Kingstown,42
North Providence,98
North Smithfield,6
Pawtucket,156
Portsmouth,12
Providence,345
Richmond,0
Scituate,7
Smithfield,22
South Kingstown,23
Tiverton,12
Warren,6
Warwick,67
West Greenwich,<5
West Warwick,34
Westerly,17
Woonsocket,27
